"","Community_Area","Area_Number","BRDF","BRDF_Quantile"
"1","DOUGLAS","35","0.184522300958633","5"
"2","OAKLAND","36","0.156521715223789","2"
"3","FULLER PARK","37","0.18444150313735","5"
"4","GRAND BOULEVARD","38","0.175860784947872","4"
"5","KENWOOD","39","0.146025111277898","1"
"6","LINCOLN SQUARE","4","0.165344950556755","3"
"7","WASHINGTON PARK","40","0.155203811824322","2"
"8","HYDE PARK","41","0.147840011864901","2"
"9","WOODLAWN","42","0.155172619968653","2"
"10","ROGERS PARK","1","0.181489121168852","5"
"11","JEFFERSON PARK","11","0.147084474563599","2"
"12","FOREST GLEN","12","0.113257688780626","1"
"13","NORTH PARK","13","0.138221439905465","1"
"14","ALBANY PARK","14","0.161711314693093","3"
"15","PORTAGE PARK","15","0.163835875689983","3"
"16","IRVING PARK","16","0.168982048119817","3"
"17","DUNNING","17","0.14866118464205","2"
"18","MONTCLARE","18","0.167514393726985","3"
"19","BELMONT CRAGIN","19","0.176825740933418","4"
"20","WEST RIDGE","2","0.161263932784398","3"
"21","HERMOSA","20","0.180173397064209","4"
"22","AVONDALE","21","0.190691324216979","5"
"23","LOGAN SQUARE","22","0.180527948670917","4"
"24","HUMBOLDT PARK","23","0.173649893866645","4"
"25","WEST TOWN","24","0.187430643118345","5"
"26","AUSTIN","25","0.168389782309532","3"
"27","WEST GARFIELD PARK","26","0.172044143080711","4"
"28","EAST GARFIELD PARK","27","0.170636258191533","3"
"29","NEAR WEST SIDE","28","0.203059600293636","5"
"30","NORTH LAWNDALE","29","0.157342527593885","3"
"31","UPTOWN","3","0.172995734214783","4"
"32","SOUTH LAWNDALE","30","0.178362461427848","4"
"33","LOWER WEST SIDE","31","0.202345159649849","5"
"34","NEAR SOUTH SIDE","33","0.187480720380942","5"
"35","ARMOUR SQUARE","34","0.197655633091927","5"
"36","NORWOOD PARK","10","0.146757859736681","1"
"37","NEAR NORTH SIDE","8","0.168431969359517","3"
"38","LOOP","32","0.155378207564354","2"
"39","SOUTH SHORE","43","0.15270185801718","2"
"40","CHATHAM","44","0.15501336256663","2"
"41","AVALON PARK","45","0.154347687959671","2"
"42","SOUTH CHICAGO","46","0.142496747523546","1"
"43","BURNSIDE","47","0.148253589868546","2"
"44","CALUMET HEIGHTS","48","0.152464812000593","2"
"45","ROSELAND","49","0.147897238240523","2"
"46","NORTH CENTER","5","0.173359250028928","4"
"47","PULLMAN","50","0.162645246833563","3"
"48","SOUTH DEERING","51","0.128256540512666","1"
"49","EAST SIDE","52","0.153733849525452","2"
"50","WEST PULLMAN","53","0.131931586021727","1"
"51","RIVERDALE","54","0.121227253228426","1"
"52","HEGEWISCH","55","0.112843738247951","1"
"53","GARFIELD RIDGE","56","0.184230117003123","5"
"54","ARCHER HEIGHTS","57","0.221796010931333","5"
"55","BRIGHTON PARK","58","0.186503505334258","5"
"56","MCKINLEY PARK","59","0.181748256087303","5"
"57","LAKE VIEW","6","0.168414551350805","3"
"58","BRIDGEPORT","60","0.191331632435322","5"
"59","NEW CITY","61","0.173080321401358","4"
"60","WEST ELSDON","62","0.178976442664862","4"
"61","GAGE PARK","63","0.174830326810479","4"
"62","CLEARING","64","0.190874926745892","5"
"63","WEST LAWN","65","0.176236010023526","4"
"64","CHICAGO LAWN","66","0.149275082680914","2"
"65","WEST ENGLEWOOD","67","0.145529611036181","1"
"66","ENGLEWOOD","68","0.144241192936897","1"
"67","GREATER GRAND CROSSING","69","0.156729170431693","3"
"68","LINCOLN PARK","7","0.176256616007198","4"
"69","ASHBURN","70","0.162084344526132","3"
"70","AUBURN GRESHAM","71","0.157943699508905","3"
"71","BEVERLY","72","0.123777507907814","1"
"72","WASHINGTON HEIGHTS","73","0.146472628627505","1"
"73","MOUNT GREENWOOD","74","0.141443566977978","1"
"74","MORGAN PARK","75","0.134761747717857","1"
"75","OHARE","76","0.2063819143702","5"
"76","EDGEWATER","77","0.178525470197201","4"
"77","EDISON PARK","9","0.139117831985156","1"
