"","Community_Area","Area_Number","AOD","AOD_Quantile"
"1","DOUGLAS",35,0.18590901295344,5
"2","OAKLAND",36,0.176718205213547,4
"3","FULLER PARK",37,0.169770829379559,2
"4","GRAND BOULEVARD",38,0.168942518532276,2
"5","KENWOOD",39,0.169554248452187,2
"6","LINCOLN SQUARE",4,0.175716926157475,4
"7","WASHINGTON PARK",40,0.176159828901291,4
"8","HYDE PARK",41,0.175458364188671,4
"9","WOODLAWN",42,0.172626841813326,3
"10","ROGERS PARK",1,0.171923422813416,3
"11","JEFFERSON PARK",11,0.17139003276825,3
"12","FOREST GLEN",12,0.201283499598503,5
"13","NORTH PARK",13,0.190751910209656,5
"14","ALBANY PARK",14,0.176471125334501,4
"15","PORTAGE PARK",15,0.168306739628315,2
"16","IRVING PARK",16,0.168706778969084,2
"17","DUNNING",17,0.182403077681859,5
"18","MONTCLARE",18,0.173359076182048,3
"19","BELMONT CRAGIN",19,0.167433045307795,2
"20","WEST RIDGE",2,0.179248164097468,4
"21","HERMOSA",20,0.168357260525227,2
"22","AVONDALE",21,0.16611727646419,1
"23","LOGAN SQUARE",22,0.167106080386374,1
"24","HUMBOLDT PARK",23,0.169560455613666,2
"25","WEST TOWN",24,0.164960007254894,1
"26","AUSTIN",25,0.176673451349849,4
"27","WEST GARFIELD PARK",26,0.174623966217041,3
"28","EAST GARFIELD PARK",27,0.178676360183292,4
"29","NEAR WEST SIDE",28,0.170611167699099,3
"30","NORTH LAWNDALE",29,0.182384737900325,5
"31","UPTOWN",3,0.185839974880219,5
"32","SOUTH LAWNDALE",30,0.172845712552468,3
"33","LOWER WEST SIDE",31,0.180758196115494,5
"34","NEAR SOUTH SIDE",33,0.167184953888257,1
"35","ARMOUR SQUARE",34,0.181168343871832,5
"36","NORWOOD PARK",10,0.168473891913891,2
"37","NEAR NORTH SIDE",8,0.178430682048202,4
"38","LOOP",32,0.173549926280975,3
"39","SOUTH SHORE",43,0.16924089524481,2
"40","CHATHAM",44,0.162537417478032,1
"41","AVALON PARK",45,0.161005921661854,1
"42","SOUTH CHICAGO",46,0.172972764074802,3
"43","BURNSIDE",47,0.166246503591537,1
"44","CALUMET HEIGHTS",48,0.161811957756678,1
"45","ROSELAND",49,0.164175748825073,1
"46","NORTH CENTER",5,0.16482042024533,1
"47","PULLMAN",50,0.176220431923866,4
"48","SOUTH DEERING",51,0.185588122811168,5
"49","EAST SIDE",52,0.171723116934299,3
"50","WEST PULLMAN",53,0.163333094932816,1
"51","RIVERDALE",54,0.177965262532234,4
"52","HEGEWISCH",55,0.187856290903356,5
"53","GARFIELD RIDGE",56,0.174900584419568,4
"54","ARCHER HEIGHTS",57,0.185883854826291,5
"55","BRIGHTON PARK",58,0.17954814247787,5
"56","MCKINLEY PARK",59,0.175433594733477,4
"57","LAKE VIEW",6,0.183228603667683,5
"58","BRIDGEPORT",60,0.173218796650569,3
"59","NEW CITY",61,0.179106870666146,4
"60","WEST ELSDON",62,0.166601169854403,1
"61","GAGE PARK",63,0.173873014748096,3
"62","CLEARING",64,0.174404544134935,3
"63","WEST LAWN",65,0.172448790499142,3
"64","CHICAGO LAWN",66,0.168247299061881,2
"65","WEST ENGLEWOOD",67,0.165455004200339,1
"66","ENGLEWOOD",68,0.172137542068958,3
"67","GREATER GRAND CROSSING",69,0.167455618580182,2
"68","LINCOLN PARK",7,0.166745735840364,1
"69","ASHBURN",70,0.182162485520045,5
"70","AUBURN GRESHAM",71,0.167628748963277,2
"71","BEVERLY",72,0.169605791568756,2
"72","WASHINGTON HEIGHTS",73,0.170422630650657,2
"73","MOUNT GREENWOOD",74,0.164340369403362,1
"74","MORGAN PARK",75,0.158488085865974,1
"75","OHARE",76,0.190061840502655,5
"76","EDGEWATER",77,0.18410313129425,5
"77","EDISON PARK",9,0.17884291211764,4
