community,area_numbe,kde_factory,flag
DOUGLAS,35,20.6788961660053,5
OAKLAND,36,12.3544108726543,4
FULLER PARK,37,18.8713145013852,4
GRAND BOULEVARD,38,15.6594577216487,4
KENWOOD,39,8.72976038998624,3
LINCOLN SQUARE,4,8.02316533395312,2
WASHINGTON PARK,40,12.0027290315246,4
HYDE PARK,41,7.04094645081931,2
WOODLAWN,42,6.8837980230425,2
ROGERS PARK,1,2.60010015551535,1
JEFFERSON PARK,11,4.88525194739057,1
FOREST GLEN,12,4.45370453756697,1
NORTH PARK,13,7.10165716417252,2
ALBANY PARK,14,9.28046021663296,3
PORTAGE PARK,15,7.22185912065276,2
IRVING PARK,16,11.1759773099919,3
DUNNING,17,3.4060472539732,1
MONTCLARE,18,4.15546647965316,1
BELMONT CRAGIN,19,9.14589142036539,3
WEST RIDGE,2,4.52355403732981,1
HERMOSA,20,14.3821793567896,4
AVONDALE,21,14.7131116404673,4
LOGAN SQUARE,22,19.4290417045602,4
HUMBOLDT PARK,23,20.0537070778223,4
WEST TOWN,24,29.356478409705,5
AUSTIN,25,11.4002823062222,3
WEST GARFIELD PARK,26,19.8207665034915,4
EAST GARFIELD PARK,27,25.8391631890284,5
NEAR WEST SIDE,28,35.4953167958496,5
NORTH LAWNDALE,29,23.5909978776557,5
UPTOWN,3,6.75548814187677,2
SOUTH LAWNDALE,30,23.4083801756144,5
LOWER WEST SIDE,31,33.0824478874098,5
NEAR SOUTH SIDE,33,26.6189665317911,5
ARMOUR SQUARE,34,28.3968385523961,5
NORWOOD PARK,10,3.04225170047394,1
NEAR NORTH SIDE,8,28.7473162754373,5
LOOP,32,31.1192168223186,5
SOUTH SHORE,43,5.13972819047196,1
CHATHAM,44,7.7164968460576,2
AVALON PARK,45,7.2857546219606,2
SOUTH CHICAGO,46,6.47982552233812,2
BURNSIDE,47,8.91458528204461,3
CALUMET HEIGHTS,48,9.24477713404913,3
ROSELAND,49,7.58492141698772,2
NORTH CENTER,5,13.7925560291535,4
PULLMAN,50,10.7860224547328,3
SOUTH DEERING,51,12.6537226987001,4
EAST SIDE,52,9.08265967282623,3
WEST PULLMAN,53,5.0056316907591,1
RIVERDALE,54,8.38341127988875,3
HEGEWISCH,55,8.16838436656054,2
GARFIELD RIDGE,56,7.64754793862259,2
ARCHER HEIGHTS,57,16.96300128041,4
BRIGHTON PARK,58,22.5187786173684,5
MCKINLEY PARK,59,28.5624357181974,5
LAKE VIEW,6,12.5034485512194,4
BRIDGEPORT,60,29.7518234721437,5
NEW CITY,61,21.8060718821382,5
WEST ELSDON,62,13.437685272509,4
GAGE PARK,63,16.1671543687696,4
CLEARING,64,5.66693433464247,2
WEST LAWN,65,8.41603350999667,3
CHICAGO LAWN,66,9.63499351215785,3
WEST ENGLEWOOD,67,11.493431178486,3
ENGLEWOOD,68,11.836972227697,3
GREATER GRAND CROSSING,69,8.25823342083186,3
LINCOLN PARK,7,20.9823245638787,5
ASHBURN,70,4.95979620849698,1
AUBURN GRESHAM,71,6.41468980063195,2
BEVERLY,72,3.00847275830224,1
WASHINGTON HEIGHTS,73,5.14356953551078,2
MOUNT GREENWOOD,74,1.10584839957965,1
MORGAN PARK,75,2.45236392535803,1
OHARE,76,3.82126982020246,1
EDGEWATER,77,4.4231226317349,1
EDISON PARK,9,1.8764538892068101,1
