"","Community_Area","Area_Number","NDVI","NDVI_Quantile"
"1","DOUGLAS","35","0.293824215387476","3"
"2","OAKLAND","36","0.343600374646485","5"
"3","FULLER PARK","37","0.21827352588827","1"
"4","GRAND BOULEVARD","38","0.273337023650728","3"
"5","KENWOOD","39","0.335438804591403","4"
"6","LINCOLN SQUARE","4","0.304501432986533","4"
"7","WASHINGTON PARK","40","0.346539528184646","5"
"8","HYDE PARK","41","0.327129055402781","4"
"9","WOODLAWN","42","0.352957109708597","5"
"10","ROGERS PARK","1","0.251557295059049","2"
"11","JEFFERSON PARK","11","0.307479428546923","4"
"12","FOREST GLEN","12","0.426359520131542","5"
"13","NORTH PARK","13","0.380593288275931","5"
"14","ALBANY PARK","14","0.25242563463906","2"
"15","PORTAGE PARK","15","0.272072602975733","3"
"16","IRVING PARK","16","0.266506215298413","2"
"17","DUNNING","17","0.334500577361857","4"
"18","MONTCLARE","18","0.284549940998356","3"
"19","BELMONT CRAGIN","19","0.247023578671461","2"
"20","WEST RIDGE","2","0.313693928682875","4"
"21","HERMOSA","20","0.220568177523091","2"
"22","AVONDALE","21","0.199598011009547","1"
"23","LOGAN SQUARE","22","0.207394936395263","1"
"24","HUMBOLDT PARK","23","0.219813859767535","1"
"25","WEST TOWN","24","0.193189638311213","1"
"26","AUSTIN","25","0.270588977032163","3"
"27","WEST GARFIELD PARK","26","0.268790260445876","3"
"28","EAST GARFIELD PARK","27","0.273144814405548","3"
"29","NEAR WEST SIDE","28","0.177367686901404","1"
"30","NORTH LAWNDALE","29","0.274213910404895","3"
"31","UPTOWN","3","0.308025695257268","4"
"32","SOUTH LAWNDALE","30","0.207620890353594","1"
"33","LOWER WEST SIDE","31","0.1448960227131","1"
"34","NEAR SOUTH SIDE","33","0.207592234015465","1"
"35","ARMOUR SQUARE","34","0.180883045900952","1"
"36","NORWOOD PARK","10","0.342654494425425","5"
"37","NEAR NORTH SIDE","8","0.161429836172757","1"
"38","LOOP","32","0.192829254692719","1"
"39","SOUTH SHORE","43","0.297599669490288","3"
"40","CHATHAM","44","0.300861113745233","4"
"41","AVALON PARK","45","0.294759839516262","3"
"42","SOUTH CHICAGO","46","0.328867055206414","4"
"43","BURNSIDE","47","0.300680802265803","3"
"44","CALUMET HEIGHTS","48","0.300688262211113","4"
"45","ROSELAND","49","0.357873558463537","5"
"46","NORTH CENTER","5","0.241752941419583","2"
"47","PULLMAN","50","0.31952977196003","4"
"48","SOUTH DEERING","51","0.324502494332253","4"
"49","EAST SIDE","52","0.308037074342851","4"
"50","WEST PULLMAN","53","0.372986522454747","5"
"51","RIVERDALE","54","0.384381810649794","5"
"52","HEGEWISCH","55","0.363661359685163","5"
"53","GARFIELD RIDGE","56","0.258614321857101","2"
"54","ARCHER HEIGHTS","57","0.162794806296006","1"
"55","BRIGHTON PARK","58","0.183475146453608","1"
"56","MCKINLEY PARK","59","0.202496029780461","1"
"57","LAKE VIEW","6","0.234027178658472","2"
"58","BRIDGEPORT","60","0.1758266330625","1"
"59","NEW CITY","61","0.238016027392763","2"
"60","WEST ELSDON","62","0.258399177629214","2"
"61","GAGE PARK","63","0.242127787697753","2"
"62","CLEARING","64","0.238439437542253","2"
"63","WEST LAWN","65","0.233757281204065","2"
"64","CHICAGO LAWN","66","0.285543879937558","3"
"65","WEST ENGLEWOOD","67","0.329288329571894","4"
"66","ENGLEWOOD","68","0.338501596010771","5"
"67","GREATER GRAND CROSSING","69","0.293679197004863","3"
"68","LINCOLN PARK","7","0.236876055551103","2"
"69","ASHBURN","70","0.301233432816165","4"
"70","AUBURN GRESHAM","71","0.298730981649545","3"
"71","BEVERLY","72","0.450725537346255","5"
"72","WASHINGTON HEIGHTS","73","0.34367407222881","5"
"73","MOUNT GREENWOOD","74","0.383363126266387","5"
"74","MORGAN PARK","75","0.393721754352252","5"
"75","OHARE","76","0.279150482144905","3"
"76","EDGEWATER","77","0.24742092265759","2"
"77","EDISON PARK","9","0.34532608722265","5"
